DTI Metric,HC,MI,Age (F; p),Sex (F; p),Group (F; p),R2—adj (%)
FA,0.271 ± 0.050,0.149 ± 0.035,0.72; 0.404,0.19; 0.668,31.78; <0.001,62.11
MD,1.170E − 03 ± 1.630E − 04,2.157E − 03 ± 4.425E − 04,1.60; 0.217,1.08; 0.307,41.82; <0.001,69.64
AD,1.450E − 03 ± 1.530E − 04,2.238E − 03 ± 4.395E − 04,1.08; 0.307,1.48; 0.234,30.49; <0.001,62.02
RD,1.030E − 03± 1.690E − 04,2.021E − 03± 4.282E − 04,1.14; 0.295,1.37; 0.253,45.92; <0.001,73.77
