Unnamed: 0,R-MCC,R-LG,L-POFC-AIC,L-IPL,R-POFC-AIC,L-TP
Correlation coefficient,0.366,0.366,0.341,0.325,0.313,−0.439
P-value,0.017,0.017,0.027,0.036,0.043,0.004
