Unnamed: 0_level_0,CDR‐0,CDR‐0,CDR‐0.5,CDR‐0.5,CDR‐1,CDR‐1,F‐statistic/Χ2 (p value)
N,286,Unnamed: 2_level_1,59,Unnamed: 4_level_1,19,Unnamed: 6_level_1,Unnamed: 7_level_1
M/F,125.0,161,35.0,24,10.0,9,5.1 (.08)
Age,73.3,(6.0),75.8,(7.0),77.8,(7.3),7.6 (<.001)
Education (Y),15.8,(2.7),15.1,(3.0),13.6,(3.5),6.4 (.002)
MMSE,28.9,(1.3),26.9,(2.6),23.7,(2.6),114.1 (4*10−39)
Mean relative RMS before denoising,0.15,(0.06),0.16,(0.06),0.15,(0.07),0.66 (.52)
Mean FD after denoising,0.03,(0.01),0.03,(0.01),0.03,(0.01),2.0 (.13)
Delayed recall,12.9,(4.35),7.3,(5.68),1.8,(2.66),70.9 (10−26)
