Unnamed: 0,State-1,State-2,State-3,State-4,State-5
Mean dwell time,,,,,
p-value,0.6984,0.0278∗,0.0058∗,0.3811,9.88e – 05∗
t-Value,−0.3880,2.2134,2.7899,−0.8776,−3.9618
Fraction time,,,,,
p-value,0.1089,0.0006∗,3.22e – 07∗,0.9943,9.98e – 10∗
t-Value,−1.6088,3.4697,5.2759,−0.0072,−6.3690
