Unnamed: 0_level_0,Region,Peak coordinates,Peak coordinates,Peak coordinates,Peak coordinates,Cluster size,Cluster-level FWE-corrected p
Unnamed: 0_level_1,Region,x,y,z,t,Cluster size,Cluster-level FWE-corrected p
Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation
Seed: Left ACC,,,,,,,
Seed: Right ACC,Right precentral gyrus,15,−27,51,3.75,265,0.015
Seed: Right ACC,Left middle cingulate gyrus,−6,−15,45,3.59,,
Seed: Right ACC,Right middle cingulate gyrus,12,−18,45,3.29,,
Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation
Seed: Left ACC,,,,,,,
Seed: Right ACC,,,,,,,
