Networks,P-value
Cerebellum vs. visual network,0.0147
Default mode network vs. visual network,0.0149
Cerebellum vs. language network,0.003
Visual vs. language network,0.0119
Right frontoparietal vs. salience network,0.0186
Salience network vs. frontoparietal control network,0.023
