Measure,RSN,"IC, domain",Average Beta
TCL Factor 2,,,
,Precuneus,"40, SM",0.515
TCL Total,,,
,Secondary visual cortex: Fusiform gyrus and cuneus,"27, VI",−0.223 & 0.305
