Unnamed: 0_level_0,Mean diffusivity (MD),Mean diffusivity (MD)
Unnamed: 0_level_1,HC,sCJD
Cortical MD,779 ± 61,745 ± 53 (p < .0001)
Subcortical MD,663 ± 92,607 ± 93 (p < .0001)
Cerebellum MD,665 ± 27,685 ± 36 (p < .05)
