Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters,Movement parameters
Unnamed: 0_level_1,Country-1,Country-1,Country-1,Stats,Stats,Country-2,Country-2,Country-2,Stats,Stats,Country-3,Country-3,Stats,Stats,Stats,Online database,Online database,Online database,Stats,Stats
Unnamed: 0_level_2,C,bvFTD,AD,Score,p-value,C,bvFTD,AD,Score.1,p-value.1,C,bvFTD,AD,Score.2,p-value.2,C,bvFTD,AD,Score.3,p-value.3
Mean translational (mm),0.13 (0.02),0.11 (0.05),0.10 (0.02),1.29,0.25,0.07 (0.03),0.06 (0.02),0.05 (0.02),1.28,0.18,0.08 (0.03),0.08 (0.03),0.09 (0.05),1.61,0.22,0.07 (0.02),0.08 (0.03),0.07 (0.04),1.59,0.24
Mean rotational (°),0.08 (0.06),0.10 (0.03),0.08 (0.02),2.99,0.12,0.03 (0.01),0.03 (0.01),0.05 (0.02),2.45,0.11,0.05 (0.01),0.03 (0.01),0.06 (0.03),3.01,0.18,0.04 (0.02),0.04 (0.04),0.09 (0.02),3.2,0.09
