Brain regions,X,Y,Z,Cluster size,t
Left hypothalamus,Left hypothalamus,Left hypothalamus,Left hypothalamus,Left hypothalamus,Left hypothalamus
Right amygdala,30,3,−21,40,4.62
Right insula,33,18,15,58,7.11
Left anterior cingulate cortex,−18,39,9,79,5.26
Right anterior cingulate cortex,9,30,24,68,4.67
Right thalamus,9,−9,−6,72,5.05
Left thalamus,−3,−15,21,41,4.66
Left middle frontal gyrus,−42,21,27,36,−4.07
Right middle frontal gyrus,30,−3,54,42,−3.72
