Unnamed: 0,RW,TSD,P
Mean response time (ms),355.6 ± 30.1,367.2 ± 34.3,0.018
Fastest 10% response time (ms),282.3 ± 28.0,301.2 ± 37.2,0.007
Lapse probability (%),8.9 ± 9.5,18.9 ± 16.4,0.006
