Brain regions,MNI coordinates (mm),MNI coordinates (mm),MNI coordinates (mm),Clusters sizes (voxels)
Unnamed: 0_level_1,x,y,z,Unnamed: 4_level_1
APOE ε4+ carriers < APOE ε3ε3 carriers,,,,
Bilateral MPFC,24,27,−18,178.0
APOE ε4+ carriers >APOE ε3ε3 carriers,,,,
Left middle occipital gyrus,−24,−87,6,112.0
Right lingual gyrus/inferior occipital gyrus,33,−90,−6,83.0
