Input stimulus,Input stimulus,Free energy,Free energy
Perception,Imagery,Left hemisphere,Right hemisphere
V1,HC,"−141,076,3576","−133,512,8967"
V1,RSC,"−140,782,4527","−145,703,4048"
V1,PPA,"−141,118,3437","−145,755,2487"
