Groups,Total accuracy,Balanced accuracy (BA),BA p-value,AUC
DS/NDS,78.60%,72.63%,0.003,0.84
DS/HC,84.63%,76.05%,0.001,0.85
HC/NDS,83.26%,75.59%,0.001,0.84
