Brain regions,Peak MNI coordinate,Peak MNI coordinate,Peak MNI coordinate,F/t,Cluster size
Unnamed: 0_level_1,X,Y,Z,Unnamed: 4_level_1,Unnamed: 5_level_1
ANCOVA,ANCOVA,ANCOVA,ANCOVA,ANCOVA,ANCOVA
L-postcentral/L-precentral/L-parietal_inf,–51,–21,36,53.13,"1,158"
R-postcentral/R-precentral,45,–30,60,43.39,943
R-temporal_mid/R-temporal_sup,57,–15,–6,27.23,171
R-occipital_inf/R-occipital_mid,42,–78,–3,27.54,101
R-lingual,18,–45,–12,31.69,250
L-cingulum_ant,0,15,27,27.54,84
DS vs. HC,DS vs. HC,DS vs. HC,DS vs. HC,DS vs. HC,DS vs. HC
L-postcentral/L-precentral/L-parietal_inf/ L-paracentral lobule,-51,–21,36,6.68,"1,319"
R-postcentral/R-precentral,45,–27,60,6.87,"1,039"
R-lingual/R-calcarine,18,–75,–12,5.20,625
R-temporal_mid/R-temporal_sup,57,–33,3,5.41,246
L-cingulum_ant,0,15,27,–5.07,142
NDS vs. HC,NDS vs. HC,NDS vs. HC,NDS vs. HC,NDS vs. HC,NDS vs. HC
B-postcentral/B-precentral/L-parietal_inf,–48,–24,45,9.16,"6,210"
B-lingual,45,–75,0,6.34,"1,976"
L-occipital_inf,–48,–72,–6,5.28,102
R-frontal_sup/R-frontal_mid,30,57,18,–4.51,95
B-cingulum_ant,6,30,18,–4.62,173
B-augular,57,–48,36,–5.78,441
DS vs. NDS,,–,–,–,–
