System,Seed,Talairach coordinates (R)
,,
Somatomotor,Right somatomotor,"(39, −26, 51)"
Default,Right posterior cingulate/precuneus,"(4, −40, 43)"
Language,Right inferior frontal gyrus,"(48, −13, 31)"
Visual,Right V1,"(20, 75, 12)"
Auditory,Right A1,"(50, −25, 8)"
Dorsal attention,Right intraparietal sulcus,"(21, −69, 30)"
