Unnamed: 0,Beta coefficient,T-value,Standard deviation,p-value
Full brain,−0.001,−1.28,0.001,0.2
Network 1DMN and frontoparietal nodes,−0.017,−3.56,0.005,0.002???
Network 2DMN and frontoparietal nodes,−0.011,−3.14,0.003,0.004???
Network 3Auditory nodes,−0.009,−1.59,0.006,0.15
Network 4Sensory and motor nodes,0.002,0.41,0.005,0.68
