Region Name,"MNICoordinates(x,y,z)",Cluster Size,p-uncorrected,p-FDR corrected,t-Value
Superior Frontal Gyrus,"-10,+24,+46",k =1199,0.0,0.0,3.22
Post Central Gyrus,"-58, -18, +52",k = 480,8e-06,0.000137,3.22
