Network,Region,Coordinates
Executive Control Network (ECN),Left dorsolateral prefrontal cortex (dlPFC)Right dorsolateral prefrontal cortex (dlPFC),"−42, 34, 20"
Executive Control Network (ECN),Left dorsolateral prefrontal cortex (dlPFC)Right dorsolateral prefrontal cortex (dlPFC),"44, 36, 20"
Default Mode Network (DMN),Posterior cingulate cortex (PCC),"1, −55, 17"
Salience Network (SN),Left anterior insula (ant INS)Right anterior insula (ant INS),"−32, 26, −14"
Salience Network (SN),Left anterior insula (ant INS)Right anterior insula (ant INS),"38, 22, −10"
Hippocampus,Left hippocampusRight hippocampus,"-28, -22, -12"
Hippocampus,Left hippocampusRight hippocampus,"28, -22, -12"
