Unnamed: 0_level_0,Unnamed: 1_level_0,11C-UCB-J source network,Unnamed: 3_level_0
Resting-state network,MPFC,STRL,MPAR
Anterior default-mode,0.634**,0.440**,−0.136
Posterior default-mode,0.354**,0.260**,−0.039
Executive control,0.361**,0.243**,−0.034
Salience,0.300**,0.344**,−0.031
Sensorimotor,0.230**,0.194**,−0.153
