Unnamed: 0_level_0,Unnamed: 1_level_0,MNI,MNI,MNI,Unnamed: 5_level_0,Unnamed: 6_level_0
Condition,Brain regions,x,y,z,Peak T-scores,Cluster size (voxels)
PACG > HC,R_CER_8,−12,−60,−63,6.4017,645
PACG > HC,L_CER_4-5,−12,−30,−27,4.5909,539
PACG > HC,R_CER_8,15,−21,−51,5.6261,143
PACG < HC,B_LING/CAL/SOG,−9,−102,18,−4.5399,738
PACG < HC,R_PostCG,39,−36,66,−4.7791,514
