Unnamed: 0_level_0,mean (SD) of two groups,mean (SD) of two groups,t-value
Unnamed: 0_level_1,ASD group,TD group,Unnamed: 3_level_1
Betweenness centrality of MST,0.6371 ± 0.0173,0.6401 ± 0.0159,−7.13???
Tree hierarchy,0.3379 ± 0.0232,0.3337 ± 0.0202,6.54???
Global efficiency,0.3405 ± 0.0054,0.3412 ± 0.0056,−3.98???
Betweenness centrality of ROI #1,0.2418 ± 0.1003,0.2670 ± 0.1026,−9.72???
Eccentricity of ROI #1,7.8138 ± 0.5652,7.6500 ± 0.6198,12.67???
