Unnamed: 0,Amy,NAC,VMPFC,lDLPFC,rDLPFC,DMPFC,Linsula,Rinsula
Amy,–,0.0038 (???),0.0125 (???),0.0033 (???),0.0034 (???),0.0040 (???),0.0038 (???),0.0037 (???)
NAC,0.0038 (???),–,0.0071 (???),0.0034 (???),0.0031 (???),0.0053 (???),0.0044 (???),0.0038 (???)
VMPFC,0.0052 (???),0.0029 (???),–,0.0051 (???),0.0044 (???),0.0033 (???),0.0042 (???),0.0045 (???)
lDLPFC,0.0026 (???),0.0026 (???),0.0072 (???),–,0.0103 (???),0.0091 (???),0.0113 (???),0.0047 (???)
rDLPFC,0.0030 (???),0.0025 (???),0.0064 (???),0.0103 (???),–,0.0125 (???),0.0040 (???),0.0072 (???)
DMPFC,0.0030 (???),0.0037 (???),0.0049 (???),0.0084 (???),0.0089 (???),–,0.0140 (???),0.0107 (???)
Linsula,0.0031 (???),0.0034 (???),0.0066 (???),0.0116 (???),0.0047 (???),0.0147 (???),–,0.0158 (???)
Rinsula,0.0031 (???),0.0026 (???),0.0076 (???),0.005 (???),0.0079 (???),0.0148 (???),0.0196 (???),–
