Unnamed: 0,Amy,NAC,VMPFC,lDLPFC,rDLPFC,DMPFC,Linsula,Rinsula
Amy,0.0302 ± 0.340,0.0719* ± 0.290,0.0439 ± 0.207,0.0316 ± 0.188,0.0597* ± 0.184,0.0200 ± 0.175,0.0647* ± 0.198,0.0072 ± 0.189
NAC,−0.0683* ± 0.301,0.110* ± 0.343,0.0182 ± 0.188,−0.0032 ± 0.169,−0.0181 ± 0.180,0.0459* ± 0.200,0.0750* ± 0.223,0.0275 ± 0.217
VMPFC,0.308* ± 0.412,0.0702 ± 0.328,−0.198* ± 0.293,0.00 ± 0.187,0.0199 ± 0.209,0.0113 ± 0.186,−0.0060 ± 0.247,0.0055 ± 0.234
lDLPFC,−0.194* ± 0.286,−0.0312 ± 0.289,−0.152* ± 0.226,0.162* ± 0.280,0.0438 ± 0.228,0.117* ± 0.194,0.159* ± 0.216,0.0447 ± 0.226
rDLPFC,−0.217* ± 0.268,−0.0228 ± 0.274,−0.0839* ± 0.214,0.0527* ± 0.229,0.123* ± 0.256,0.180* ± 0.199,−0.0221 ± 0.255,0.119* ± 0.255
DMPFC,−0.436* ± 0.363,−0.0842 ± 0.400,−0.0883* ± 0.300,−0.0850* ± 0.276,−0.132* ± 0.230,−0.190* ± 0.341,0.199* ± 0.341,0.117* ± 0.308
Linsula,−0.442* ± 0.368,−0.133* ± 0.327,−0.213* ± 0.276,−0.102* ± 0.259,−0.133* ± 0.259,0.191* ± 0.239,−0.0678 ± 0.343,0.0883* ± 0.315
Rinsula,−0.368* ± 0.326,−0.108* ± 0.351,−0.165* ± 0.213,−0.0767* ± 0.217,−0.0960* ± 0.191,0.141* ± 0.207,0.204* ± 0.212,0.110* ± 0.321
