Groups-FC map,Seed,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,F-value,P
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1
Left postcentral,Cingulate gyrus,9,−3,27,12.497,<0.001???
,Left paracentral,−12,−24,63,8.396,<0.001???
Right postcentral,Left caudate,−9,−3,15,3.227,0.047???
,Left paracentral,−12,−24,63,9.682,<0.001???
,Left postcentral,−48,−27,63,14.075,<0.001???
Left precentral,–,–,–,–,–,–
Right precentral,Cingulate gyrus,6,−3,27,10.894,<0.001???
,Precuneus,15,−81,30,9.197,<0.001???
,Left paracentral,−12,−24,63,11.746,<0.001???
