Unnamed: 0_level_0,Awake,Medetomidine,Medetomidine,Recovery
Unnamed: 0_level_1,Awake,0.055 mg/kg,0.33 mg/kg,Recovery
Spontaneous movements,+++,+,−,+
Startle reaction to noise,+++,+,−,+++
Breathing rate,+++,++,+,+++
