Unnamed: 0,ASD (n = 107),NT (n = 113),Statistical test,Statistical test.1
,Mean (SD),Mean (SD),t,p
Age (years),20.9 (8.03),19.3 (7.31),1.48,0.14
Mean FD,0.11 (0.10),0.10 (0.11),0.40,0.69
ADOS-total,12.7 (3.68),,,
ADOS-repetitive behavior,2.02 (1.50),,,
ADOS-communication,4.25 (1.51),,,
ADOS-social,8.40 (2.65),,,
