Anatomical Region,x,y,z,z-Value,p (Voxel),Cluster Extent,p (Cluster),Cohen’s d
"Putamen/Pallidum, left",−16,8,−2,4.01,0.007,12,0.009,0.7
"Putamen/Pallidum, right",18,8,2,3.6,0.03,5,0.02,0.65
