Brain regions,Peak MNI,Number of voxels,F-value,P (GRF)
Unnamed: 0_level_1,X Y Z,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1
Left inferior temporal gyrus,"−57, −60, −6",133,11.641,"Cluster <0.05, voxel <0.001"
Left parietal inferior gyrus,"−54, −24, 39",131,9.6826,"Cluster <0.05, voxel <0.001"
