Brain regions,Peak MNI,Number of voxels,F-value,P (GRF)
Unnamed: 0_level_1,X Y Z,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1
Right inferior frontal orbital gyrus,30 33 −12,25,9.3406,"Cluster <0.05, voxel <0.001"
Left superior parietal gyrus,−24 −48 69,25,11.8109,"Cluster <0.05, voxel <0.001"
