Seed,Target,Neuronal tracer-based structural connectivity strength,Diffusion-based structural connectivity strength,Functional connectivity strength (Z’),Euclidean distance (mm),Connection type (network),Connection type (regional)
Left AIP,Left PRh,3.66,317.5,0.42,4.37,No,Intrahemispheric left
Left PRh,Left AIP,4.0,317.5,0.42,4.37,No,Intrahemispheric left
Right TeA,Right PRh,2.94,250.7,0.46,2.38,Default mode network to another network,Intrahemispheric right
Left AuV,Left PRh,2.75,141.3,0.48,1.49,Default mode network to another network,Intrahemispheric left
Left TeA,Left PRh,2.94,466.6,0.51,2.38,Default mode network to another network,Intrahemispheric left
Right M1,Right FrA,2.93,154.8,0.52,4.17,Sensorimotor network to another network,Intrahemispheric right
Right AIP,Right PRh,3.66,316.3,0.53,4.35,No,Intrahemispheric right
Right PRh,Right AIP,4.0,316.3,0.53,4.35,No,Intrahemispheric right
LeftEct,Left PRh,3.9,1523.8,0.56,1.14,No,Intrahemispheric left
Left PRh,LeftEct,3.83,1523.8,0.56,1.14,No,Intrahemispheric left
Right S2,Right AIP,3.0,125.0,0.56,2.22,Sensorimotor network to another network,Intrahemispheric right
Left AIV,Left AIP,3.0,301.1,0.59,4.86,No,Intrahemispheric left
LeftM1,Left FrA,2.93,181.7,0.59,4.18,Sensorimotor network to another network,Intrahemispheric left
Right Ect,Right PRh,3.9,1215.6,0.61,1.12,No,Intrahemispheric right
Right PRh,Right Ect,3.83,1215.6,0.61,1.12,No,Intrahemispheric right
Right RSd,Right Ect,3.0,226.8,0.62,6.12,Default mode network to another network,Intrahemispheric right
Left AID,Left AIP,3.0,145.9,0.63,5.2,No,Intrahemispheric left
Left AIP,Left AID,2.9,145.9,0.63,5.2,No,Intrahemispheric left
Right AIV,Right AIP,3.0,277.3,0.66,4.88,No,Intrahemispheric right
Right Ect,Right Au1,3.0,217.3,0.67,1.81,Default mode network to another network,Intrahemispheric right
Left AIP,LeftGI,3.69,249.3,0.68,2.21,No,Intrahemispheric left
LeftGI,Left AIP,2.91,249.3,0.68,2.21,No,Intrahemispheric left
Left RSd,LeftEct,3.0,152.4,0.71,6.12,Default mode network to another network,Intrahemispheric left
Right TeA,Right V2L,2.86,1078.8,0.71,2.17,Default mode network to another network,Intrahemispheric right
Right AIP,Right GI,3.69,354.0,0.72,2.2,No,Intrahemispheric right
Right GI,Right AIP,2.91,354.0,0.72,2.2,No,Intrahemispheric right
