Anatomical region,BA,"MNI coordinates (x, y, z)",Cluster size (voxels),T-value
"ACG.L, ACG.R, DCG.R",24/32/23,"−9, −21, 27",429,−4.703
"SFGdor.R, PreCG.R, MFG.R",6/8,"18, 6, 51",276,−3.793
