Seed,Brain regions,Cluster size (voxels),Peak intensity,MNI coordinates
SMG_R,MTG_L,54,19.297,"(−42, −54, 6)"
,MOG_L,47,11.281,"(−39, −87, 12)"
,IFG_L,38,18.582,"(−51, 30, 6)"
