Unnamed: 0,Unnamed: 1,MMSE,FAB,SDS,AS
Scale 2,PFC (R),0.142,0.416,0.026,−0.095
Scale 3,PFC (L),0.492 *,0.553 *,0.004,−0.084
,PFC (R),0.181,0.393,−0.112,−0.066
Scale 4,PFC (R),0.353,0.572 *,−0.078,−0.092
