Unnamed: 0,Regions,"MNI coordinates (x,y,z)","MNI coordinates (x,y,z).1","MNI coordinates (x,y,z).2",Voxels,Peak value (t)
ESRD VS HC (Increased),,,,,,
,Left Insula,-39.0,6.0,3.0,151.0,9.13
,Right Insula,45.0,15.0,-6.0,253.0,8.28
,dACC,9.0,12.0,27.0,106.0,8.49
