Measure,RSN,"IC, domain",Average beta
PCL-R factor 1,,,
,Right parahippocampal gyrus,"63, DMN",−0.4143
PCL-R factor 2,,,
,Right fusiform gyrus,"60, VIS","0.2403, −0.2654"
,Left lingual gyrus,"68, VIS",0.2688
