Unnamed: 0,Cluster,Center of mass,Center of mass.1,Center of mass.2,Brain region,Cluster size (mm3),Peak value (correlation)
ACU,1,30,−36,0,Internal capsule (retrolent. part) R,1728,0.67
ACU,2,30,−57,15,Posterior thalamic radiation R,702,0.52
ACU,3,15,−3,30,Body of corpus callosum R,648,0.49
RTP,1,−18,45,9,Anterior corona radiata L,918,−0.61
1MO,1,33,21,33,Superior corona radiata R,648,−0.70
