Unnamed: 0,SAD,HC
N,33,20
Age,28.06 (6.57),28.65 (6.18)
Gender (F/M),21/12,12/8
Race,White 14 (42.4%),White 10 (50%)
Race,Black 6 (18.2%),Black 6 (30%)
Race,Asian 6 (18.2%),Asian 4 (20%)
Race,Others 7 (21.2%),Others 0 (0%)
