Brain region,Number of voxels,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Peak T-value
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1
Right middle temporal gyrus,103,60,0,−26,8.13
Left temporal pole,127,−50,16,−20,8.99
Left hippocampus/left amygdala,235,−34,−30,−8,10.47
Left insula,192,−26,12,−22,8.27
Medial orbitofrontal cortex/anterior cingulate cortex,466,−4,52,−12,9.28
Right temporal pole,50,52,16,−18,5.25
Precuneus/posterior cingulate cortex,367,2,−44,24,7.87
Right angular,140,60,−58,28,11.91
Left angular,56,−50,−64,40,6.08
Middle cingulate cortex,99,2,−16,32,6.69
