Paradigm,Brain Region,"Peak Voxel Coordinates(MNI: x, y, z,)",Cluster Size,T
Sound Perception,Left posterior superior temporal gyrus,"−59, −30, 5",70,5.69
Sound Perception,Left superior temporal gyrus,"−56, −37, 5",70,5.35
Sound Perception,Right primary auditory cortex,"61, −11, 5",83,9.15
Speech Perception,Left superior temporal gyrus,"−67, −48, 10",260,11.42
Speech Perception,Left primary auditory cortex,"−56, −37, 5",260,10.17
Speech Perception,Right posterior superior temporal gyrus,"−50, −33, 5",260,9.11
Speech Perception,Superior temporal gyrus,"61, −7, 0",186,9.58
Speech Perception,Right posterior superior temporal gyrus,"57, −22, 0",186,8.72
