Paradigm,Brain Region,"Peak Voxel Coordinates(MNI: x, y, z,)",Cluster Size,T
Sound Perception,Left posterior superior temporal gyrus,"−59, −26, 5",221,10.54
Sound Perception,Left Primary auditory cortex,"−63, −14, 5",221,9.46
Sound Perception,Right primary auditory cortex,"64, −3, 5",119,10.79
Sound Perception,Right posterior superior temporal gyrus,"61, 8, -5",119,10.23
Speech Perception,Left middle temporal gyrus,"−59, −41, 5",269,10.86
Speech Perception,Left superior temporal gyrus,"−59, −30, 0",269,9.97
Speech Perception,Right primary auditory cortex,"64, −7, 5",160,10.95
Speech Perception,Right Superior temporal gyrus,"57, 12, −10",160,10.49
