Paradigm,Brain Region,"Peak Voxel Coordinates(MNI: x, y, z,)",Cluster Size,T
Speech Perception,Left superior temporal gyrus,"−59, −37, 10",2,5.96
Speech Perception,Left superior temporal gyrus,"−67, −37, 10",3,5.37
Spatial Navigation,Left parahippocampal gyrus,"−37, −37, −25",4,3.96
Spatial Navigation,Left parahippocampal gyrus,"−27, −37, −15",2,3.68
