Variables,Mean,Median,SD,Max,Min
Reply indexes,,,,,
Reply network,85.0,79.0,60.0,317,0.0
Reply number,884.0,816.0,641.0,"2,614",0.0
Reply per account,11.0,10.0,9.0,107,0.0
Follower indexes,,,,,
Follow network,558.0,424.0,498.0,"3,261",25.0
Following,284.0,229.0,254.0,"1,869",14.0
Follower,273.0,197.0,259.0,"1,916",10.0
