PANSS scores,Interaction effects,Time main effects,Post-hoc (paired t-test),Post-hoc (paired t-test),PANSS remission ratio???
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,TSZ,DSZ,Unnamed: 5_level_1
Positive,0.683,0.001,0.024,0.006,0.919
Negative,0.001,<0.001,<0.001,0.027,<0.001
General,0.012,<0.001,<0.001,0.015,0.005
Total,0.004,<0.001,<0.001,0.005,<0.001
