Unnamed: 0,ASC,SSC,RSP
Accuracy,0.9307,0.8529,0.6743
Precision,0.9237,0.846,0.6744
Recall,0.9787,0.9623,0.7136
F1-Score,0.9504,0.9004,0.6934
AUC,0.9661,0.8499,0.4375
