Seed,ROI,SAPS,Weekday smartphone time,Weekend smartphone time,PSQI,BSCS
L insula,R putamen,.292*,−.010,.019,.106,0.152
R insula,L fusiform,.145,−.025,−.001,.027,0.048
,L inferior orbitofrontal,.153,.006,.019,.037,0.069
,L middle temporal,.161,−.051,−.063,.113,0.09
,L superior frontal,.229,−.005,.054,−.025,0.058
,R superior temporal,.172,−.016,.006,.027,0.028
