Unnamed: 0,1,2,3,4,5,6,7,8,9
1. SAPS,1,1,1,1,1,1,1,1.0,1
2. Weekday smartphone time,.383*,1,1,1,1,1,1,1.0,1
3. Weekend smartphone time,.389**,.876**,1,1,1,1,1,1.0,1
4. Smartphone time in bed,.395**,.305*,.354**,1,1,1,1,1.0,1
5. PSQI,.350**,.154,.068,.118,1,1,1,1.0,1
6. sleep latency,.199,.229,.255,−.099,.289*,1,1,1.0,1
7. Weekday sleep duration,−.204,−.158,−.191,−.103,−.193,−.058,1,1.0,1
8. Weekend sleep duration,-.005,.016,.000,.000,−.172,.102,.387**,1.0,1
9. BSCS,.554**,.143,.136,.139,.454**,.210,.037,0.043,1
