Techniques,True positive connectivity r,False positive connectivity r,WM connectivity r,CSF connectivity r
Censoring,0.27 ± 0.15,0.1 ± 0.06,0.02 ± 0.02,0.04 ± 0.04
Censoring + GS,0.18 ± 0.14,0.01 ± 0.03,0.01 ± 0.02,−0.01 ± 0.02
Aggressive AROMA,0.24 ± 0.13,0.11 ± 0.06,0.07 ± 0.05,0.06 ± 0.04
Non-aggressive AROMA,0.4 ± 0.2,0.24 ± 0.13,0.18 ± 0.13,0.13 ± 0.08
SOCK,0.21 ± 0.13,0.06 ± 0.04,0.01 ± 0.01,0.02 ± 0.02
