Area,Side,"Peak MNI coordinates (x, y, z)","Peak MNI coordinates (x, y, z).1","Peak MNI coordinates (x, y, z).2",Cluster size,T-value
IPL,L,−50,−40,44,30,4.88
SI,R,33,−27,65,46,4.56
Cerebellum,R,−17,−84,−33,63,−5.03
