Unnamed: 0_level_0,rDCM,rDCM,FC
Unnamed: 0_level_1,Connectivity,Inputs,FC
Fixed network,Fixed network,Fixed network,Fixed network
REST,"0.24 [−0.18, 0.59]a",–,"0.16 [−0.25, 0.53]a"
REST,"0.32 [−0.10, 0.64]b",–,"0.14 [−0.31, 0.54]b"
REST,"0.45 [−0.02, 0.76]c",–,"0.22 [−0.36, 0.68]c"
EMOTION,"0.34 [−0.21, 0.72]","0.08 [−0.43, 0.54]","0.33 [−0.10, 0.66]"
EMOTION,"0.62 [0.10, 0.88]","0.25 [0.07, 0.41]","0.38 [−0.29, 0.80]"
EMOTION,"0.74 [0.45, 0.89]",–,"0.44 [−0.52, 0.91]"
GAMBLING,"0.39 [−0.10, 0.73]","0.31 [−0.15, 0.65]","0.36 [−0.02, 0.65]"
GAMBLING,"0.55 [0.15, 0.80]","0.41 [0.03, 0.68]","0.36 [−0.22, 0.75]"
GAMBLING,"0.65 [0.35, 0.83]",–,"0.34 [−0.46, 0.83]"
LANGUAGE,"0.42 [−0.09, 0.76]","0.38 [−0.12, 0.72]","0.38 [−0.06, 0.69]"
LANGUAGE,"0.45 [−0.08, 0.78]","0.37 [0.08, 0.60]","0.42 [−0.15, 0.78]"
LANGUAGE,"0.70 [0.35, 0.83]",–,"0.41 [−0.43, 0.87]"
MOTOR,"0.31 [−0.21, 0.70]","0.25 [−0.12, 0.56]","0.35 [−0.03, 0.64]"
MOTOR,"0.53 [0.15, 0.77]","0.38 [0.04, 0.64]","0.38 [−0.17, 0.75]"
MOTOR,"0.62 [0.32, 0.81]",–,"0.43 [−0.39, 0.87]"
RELATIONAL,"0.40 [−0.10, 0.73]","0.40 [−0.17, 0.77]","0.35 [−0.08, 0.67]"
RELATIONAL,"0.45 [−0.05, 0.77]","0.56 [0.12, 0.82]","0.35 [−0.24, 0.76]"
RELATIONAL,"0.67 [0.38, 0.84]",–,"0.43 [−0.48, 0.89]"
SOCIAL,"0.42 [−0.07, 0.75]","0.42 [−0.03, 0.73]","0.36 [−0.06, 0.67]"
SOCIAL,"0.46 [−0.07, 0.78]","0.51 [0.21, 0.72]","0.37 [−0.21, 0.76]"
SOCIAL,"0.69 [0.40, 0.85]",–,"0.44 [−0.53, 0.91]"
WORKING MEMORY,"0.32 [−0.19, 0.70]","0.16 [−0.18, 0.46]","0.32 [−0.05, 0.65]"
WORKING MEMORY,"0.52 [0.13, 0.77]","0.28 [−0.05, 0.55]","0.40 [−0.18, 0.77]"
WORKING MEMORY,"0.62 [0.29, 0.82]",–,"0.45 [−0.38, 0.88]"
