Method,Accuracy (%),Sensitivity (%),Specificity (%),AUC,NOF
Pearson correlation,89.74 ± 7.28,89.71 ± 9.22,86.62 ±10.50,0.93 ± 0.09,84 ±46
Partial correlation,84.87 ± 7.09,96.21 ± 5.83,75.90 ± 17.33,0.87 ± 0.13,2488± 1393
Distance correlation,93.01 ± 5.40,89.71 ± 9.22,95.08 ± 7.70,0.94 ± 0.06,81 ± 31
