Unnamed: 0,MDD (n = 29),HC (n = 44),"p‐Value (t, χ2)"
Age (years),43.79 ± 13.06,39.68 ± 11.91,.169 (t = 1.389)???
Gender (female/male),21/8,27/17,.33 (χ2 = 0.948)???
Education level,,,.018 (χ2 = 8.035)???
Elementary and middle school,7,2,
High school or college/university,21,35,
Above graduate school,1,7,
HDRS‐17 score,14.48 ± 4.82,1.98 ± 2.11,<.001(t = 13.166)???
