Measure,GCNs,SVM,"BrainNetCNN (Kawahara et al., ???)","LSTM‐DG (Dvornek et al., ???)"
Training time (s),0.00375,0.00116,0.31375,0.2162
Test time (s),0.00375,0.00015,2.18694,0.07804
