Brain region,BA,Voxel size,MNI coordinates (RAI),MNI coordinates (RAI),MNI coordinates (RAI),Peak Z Score
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,x,y,z,Unnamed: 6_level_1
PDM (n = 23) VS HC (n = 23),PDM (n = 23) VS HC (n = 23),PDM (n = 23) VS HC (n = 23),PDM (n = 23) VS HC (n = 23),PDM (n = 23) VS HC (n = 23),PDM (n = 23) VS HC (n = 23),PDM (n = 23) VS HC (n = 23)
Left IFG,45,97,–51,27,9,–5.40
Left CPL,/,334,–21,–51,–21,–3.88
Right MOG/PCU,19,191,30,-66,30,4.55
Left MOG,19,98,–36,–87,12,3.19
Right IFG,45,91,51,36,9,–3.88
PDM-post (n = 21) VS PDM-pre (n = 21),PDM-post (n = 21) VS PDM-pre (n = 21),PDM-post (n = 21) VS PDM-pre (n = 21),PDM-post (n = 21) VS PDM-pre (n = 21),PDM-post (n = 21) VS PDM-pre (n = 21),PDM-post (n = 21) VS PDM-pre (n = 21),
Left IFG,45,122,–54,30,12,4.69
Left IFG,45,53,–48,21,39,3.14
Right LG/Cuneus,17,123,18,–93,–6,3.96
Left CPL,/,50,–27,-75,–30,3.28
