Unnamed: 0_level_0,Test sample,Test sample,Replication sample
Unnamed: 0_level_1,Eyes Open Group,Eyes Closed Group,Beijing dataset
N,63,105,43
Age (mean ± SD),21.3 ± 2.04,22.4 ± 4.9,22.7 ± 2.15
Gender (male - female),52.4–47.6%,49.5–50.5%,48.8–51.2%
Education level,Basic: 0%Middle: 12.3%Superior: 87.7%,Basic: 1.92%Middle: 24.04%Superior: 74.04%,College students
Scanner,Siemens Avanto 1.5 T,Siemens Avanto 1.5 T,Siemens Trio 3 T
fMRI sequence,EPI (24 axial slices; thickness = 4; voxel size = 3.5 ×3.5; TR = 2 s; TE = 48 ms; 200 volumes),EPI (24 axial slices; thickness = 4; voxel size=3.5 ×3.5; TR = 2 s; TE = 48 ms; 200 volumes),EPI (33 axial slices; thickness = 3.5; voxel size = 3.125 ×3.125; TR = 2 s; TE = 30 ms; 240 volumes)
