Region,k,t(95),pFDR-corrected,Peak coordinates (MNI),Peak coordinates (MNI),Peak coordinates (MNI)
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,x,y,z
Right anterior insula seed,,,,,,
Precuneus/PCC,"2,048",5.32,<0.001,6,−54,22
Superior/middle frontal gyrus (L),269,4.5,0.001,−24,28,54
dACC,181,4.27,0.004,0,48,−2
IPL/angular gyrus (R),127,4.18,0.012,46,−68,38
IPL/angular gyrus (L),238,4.15,0.001,−40,−70,38
Left anterior insula seed,,,,,,
Precuneus/PCC,858,4.8,<0.001,−6,−50,16
