Unnamed: 0_level_0,Unnamed: 1_level_0,MNI coordinates,MNI coordinates,MNI coordinates,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0
Brain region,BA,X,Y,Z,T value,Cluster size,p
R inferior frontal gyrus,46,54,33,15,−4.409,34,<0.05
R middle frontal gyrus,9,39,24,39,−5.122,55,<0.05
R precuneus/posterior cingulate cortex,31,3,−51,27,−4.325,57,<0.05
B medial prefrontal cortex,8,−3,36,48,−4.443,82,<0.05
L angular gyrus,39,−42,−63,36,−4.453,45,<0.05
R angular gyrus,40,48,−60,42,−4.372,82,<0.05
