Intrinsic Network,Brain Region,H,BA,Cluster Size,Cluster Size,MNI Coordinate,MNI Coordinate,F Stat.,Z score,p FDR Cluster
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,x,y,z,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1
Network by Group Interaction,Cuneus/precuneus,,17,94,−2,−92,20,5.63,4.88,0.036
,Middle dorsal PFC,R,9,93,28,36,40,4.41,4.01,0.037
