RSN,Contrast,Minimum p value,Total number of significant voxels
Interoceptive network,Baseline > Restraint,0.005,32
Interoceptive network,Baseline > RestraintFST,0.012,60
Salience network,Baseline > Restraint,0.029,11
Salience network,Baseline > RestraintFST,0.002,127
