Regions,MNI coordinates,MNI coordinates,MNI coordinates,Cluster size (Voxel number),t-value
Unnamed: 0_level_1,x,y,z,Unnamed: 4_level_1,Unnamed: 5_level_1
Right cerebellum anterior lobe,Right cerebellum anterior lobe,Right cerebellum anterior lobe,Right cerebellum anterior lobe,Right cerebellum anterior lobe,Right cerebellum anterior lobe
Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls
Left precentral gyrus,−51,12,15,96,5.09
Left inferior frontal gyrus,,,,92,
Left middle frontal gyrus,0,9,66,67,4.89
Left medial frontal gyrus,−6,36,27,100,4.98
Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls
,,,,,
Left cerebellum anterior lobe,Left cerebellum anterior lobe,Left cerebellum anterior lobe,Left cerebellum anterior lobe,Left cerebellum anterior lobe,Left cerebellum anterior lobe
Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls
Left inferior temporal gyrus,−54,−18,−33,143,4.82
Right lingual gyrus,12,−63,18,158,5.06
Right superior temporal gyrus,54,3,45,187,5.26
Right superior frontal gyrus,,,,145,
Right middle frontal gyrus,,,,112,
Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls
,,,,,
