Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates
Hemisphere,Region,Structure,BA,X,Y,Z,Cluster size,t,p
Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR
Left,Limbic,Posterior cingulate gyrus,30,−28,−65,12,18166,4.2837,0.00002
Left,Frontal,Middle frontal gyrus,10,−22,67,22,14563,5.3659,0.00000
Right,Frontal,Superior frontal gyrus,10,17,64,30,2175,4.6678,0.00000
Right,Occipital,Middle occipital gyrus,18,26,−80,9,5462,3.9924,0.00007
Right,Sublobar,Insula,13,41,−44,15,3718,3.9094,0.00010
ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls
Left,Limbic,Cingulate gyrus,24,−10,−17,33,6495,−4.1553,0.00004
