Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates
Hemisphere,Region,Structure,BA,X,Y,Z,Cluster size,t,p
Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR
Right,Parietal,Precuneus,7,14,−74,51,6797,4.1661,0.00004
ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls
Left,Frontal,Precentral gyrus,6,−34,4,24,8649,−3.4319,0.00064
