Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates
Hemisphere,Region,Structure,BA,X,Y,Z,Cluster size,t,p
Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR
Left,Limbic,Cingulate gyrus,24,−19,1,42,2326,3.4744,0.00055
Left,Limbic,Posterior cingulate gyrus,31,−19,−38,42,5000,4.3216,0.00002
Left,Sub-lobar,Caudate,*,−10,7,−6,2601,3.8245,0.00014
ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls
Left,Frontal,Precentral gyrus,4,−55,−17,36,2099,−3.9222,0.00010
Left,Limbic,Parahippocampal gyrus,34,−16,−8,−21,2058,−4.8400,0.00000
Right,Frontal,Orbital gyrus,11,8,43,−19,1539,−3.4934,0.00051
