Task,AUC,p-value,Spearman’s rho,p-value.1
PC 1,0.67,0.013,0.18,0.04045
PC 2,0.59,0.11,0.06,0.2563
PC 3,0.56,0.23,0.09,0.19351
PC 4,0.73,0.0008,0.29,0.00306
PC 5,0.65,0.02,0.16,0.06194
